Nombre,Mot,Score_nombre->mot,Score_mot->nombre,Temps_moyen_par_lettre
0,bulle,0,0,0
1,sapin,0,0,0
2,cygne,0,0,0
3,croix,0,0,0
4,platre,0,0,0
5,main,0,0,0
6,scie,0,0,0
7,tete,0,0,0
8,huitre,0,0,0
9,oeuf,0,0,0
10,saucisse,0,0,0
11,bronze,0,0,0
12,pelouse,0,0,0
13,fraise,0,0,0
14,gateau,0,0,0
15,samu,0,0,0
16,billet,0,0,0
17,police,0,0,0
18,pompier,0,0,0
19,omelette,0,0,0
20,bouteille de vin,0,0,0
21,assassin,0,0,0
22,coeur,0,0,0
23,doigt,0,0,0
24,tarte,0,0,0
25,cintre,0,0,0
26,cerise,0,0,0
27,crepe,0,0,0
28,pipe,0,0,0
29,crane,0,0,0
30,pet,0,0,0
31,plastique,0,0,0
32,pieu,0,0,0
33,petit poid,0,0,0
34,pirate,0,0,0
35,pince,0,0,0
36,pastis,0,0,0
37,prophete,0,0,0
38,perle,0,0,0
39,pichet,0,0,0
40,carotte,0,0,0
41,tableau,0,0,0
42,ordinateur,0,0,0
43,filet,0,0,0
44,pull,0,0,0
45,chat,0,0,0
46,voiture,0,0,0
47,chaussette,0,0,0
48,volcan,0,0,0
49,echelle,0,0,0
50,maison,0,0,0
51,marin,0,0,0
52,merde,0,0,0
53,maroilles,0,0,0
54,moto,0,0,0
55,miroir,0,0,0
56,marise,0,0,0
57,marteau,0,0,0
58,manette,0,0,0
59,mouchoir,0,0,0
60,cle,0,0,0
61,chien,0,0,0
62,cheminee,0,0,0
63,couronne,0,0,0
64,chevalier,0,0,0
65,coffre,0,0,0
66,cacao,0,0,0
67,cassette,0,0,0
68,cabane,0,0,0
69,couteau,0,0,0
70,frigo,0,0,0
71,fantome,0,0,0
72,gomme,0,0,0
73,balai,0,0,0
74,briquet,0,0,0
75,tour eiffel,0,0,0
76,valise,0,0,0
77,lunettes,0,0,0
78,reveil,0,0,0
79,creche,0,0,0
80,dragon,0,0,0
81,geant,0,0,0
82,telephone,0,0,0
83,rasoir,0,0,0
84,lanterne,0,0,0
85,neige,0,0,0
86,robot,0,0,0
87,squelette,0,0,0
88,jumelles,0,0,0
89,nuage,0,0,0
90,danseuse,0,0,0
91,fleur,0,0,0
92,ballon,0,0,0
93,mousquetaire,0,0,0
94,parapluie,0,0,0
95,sac a dos,0,0,0
96,tapis,0,0,0
97,guitare,0,0,0
98,soleil,0,0,0
99,lune,0,0,0
100,sablier,0,0,0
